customer_id,name,signup_date,channel,country
C0001,Noah Sharma,2025-05-21,paid_search,US
C0002,Zoe Brown,2025-02-22,referral,US
C0003,Ravi Sharma,2025-01-16,organic,US
C0004,Arjun Chen,2025-01-14,referral,US
C0005,Ravi Kim,2025-08-18,referral,US
C0006,Ava Garcia,2025-08-05,social,US
C0007,Zoe Kim,2025-06-22,organic,US
C0008,Isha Patel,2025-07-03,social,UK
C0009,Sofia Sharma,2025-08-24,referral,US
C0010,Isha Patel,2025-10-10,social,CA
C0011,Mason Das,2025-04-09,organic,US
C0012,Arjun Nguyen,2025-02-10,paid_search,US
C0013,Isha Nguyen,2025-08-21,social,US
C0014,Mason Smith,2025-04-18,social,CA
C0015,Maya Das,2025-03-29,referral,CA
C0016,Arjun Garcia,2025-08-25,email,US
C0017,Arjun Ali,2025-06-16,organic,US
C0018,Liam Smith,2025-07-25,social,US
C0019,Priya Das,2025-06-11,paid_search,CA
C0020,Omar Khan,2025-08-23,paid_search,US
C0021,Zoe Kim,2025-10-15,referral,US
C0022,Ravi Das,2025-07-24,social,US
C0023,Zoe Chen,2025-09-10,organic,US
C0024,Noah Garcia,2025-03-23,email,UK
C0025,Maya Khan,2025-07-15,referral,IN
C0026,Sofia Chen,2025-01-06,organic,CA
C0027,Sofia Ali,2025-06-24,organic,US
C0028,Ravi Garcia,2025-08-21,organic,CA
C0029,Sofia Chen,2025-04-02,referral,US
C0030,Lucas Ali,2025-09-17,referral,US
C0031,Zoe Smith,2025-03-24,referral,UK
C0032,Ava Das,2025-06-15,email,US
C0033,Noah Smith,2025-06-07,paid_search,US
C0034,Arjun Das,2025-02-10,organic,CA
C0035,Omar Patel,2025-09-30,paid_search,US
C0036,Omar Chen,2025-03-26,social,UK
C0037,Ravi Kim,2025-10-04,paid_search,CA
C0038,Lucas Khan,2025-07-11,email,UK
C0039,Nina Patel,2025-05-07,paid_search,US
C0040,Emma Sharma,2025-10-11,paid_search,UK
C0041,Arjun Sharma,2025-02-06,organic,US
C0042,Maya Sharma,2025-06-19,organic,UK
C0043,Arjun Nguyen,2025-09-06,paid_search,UK
C0044,Zoe Brown,2025-10-20,referral,IN
C0045,Arjun Lopez,2025-07-28,paid_search,US
C0046,Noah Ali,2025-08-09,social,IN
C0047,Ravi Lopez,2025-01-28,organic,US
C0048,Isha Brown,2025-06-23,organic,US
C0049,Priya Kim,2025-10-02,email,US
C0050,Ravi Garcia,2025-05-23,email,US
C0051,Maya Lopez,2025-10-09,organic,US
C0052,Ava Patel,2025-05-02,paid_search,IN
C0053,Omar Lopez,2025-04-20,email,US
C0054,Ethan Khan,2025-01-02,email,US
C0055,Nina Nguyen,2025-08-05,referral,CA
C0056,Omar Garcia,2025-04-08,social,US
C0057,Liam Das,2025-10-05,organic,CA
C0058,Emma Sharma,2025-01-26,referral,IN
C0059,Ethan Sharma,2025-09-18,organic,US
C0060,Maya Das,2025-02-04,paid_search,IN
C0061,Noah Das,2025-05-07,referral,UK
C0062,Liam Das,2025-02-11,email,CA
C0063,Emma Nguyen,2025-04-15,social,US
C0064,Sofia Khan,2025-03-09,social,IN
C0065,Emma Patel,2025-01-05,email,UK
C0066,Noah Patel,2025-10-03,paid_search,UK
C0067,Sofia Garcia,2025-06-28,organic,US
C0068,Mason Nguyen,2025-03-22,email,UK
C0069,Lucas Das,2025-09-28,organic,CA
C0070,Lucas Ali,2025-02-23,paid_search,US
C0071,Noah Patel,2025-10-11,paid_search,US
C0072,Lucas Das,2025-04-18,social,US
C0073,Sofia Chen,2025-09-08,social,US
C0074,Maya Ali,2025-08-05,social,US
C0075,Ava Smith,2025-03-08,social,US
C0076,Nina Chen,2025-08-07,referral,US
C0077,Noah Patel,2025-03-18,referral,US
C0078,Mason Das,2025-10-10,paid_search,IN
C0079,Zoe Sharma,2025-06-07,social,US
C0080,Mason Kim,2025-05-08,organic,US
C0081,Ravi Das,2025-03-21,paid_search,US
C0082,Ethan Khan,2025-01-13,paid_search,CA
C0083,Emma Khan,2025-05-08,social,US
C0084,Noah Khan,2025-01-20,email,US
C0085,Priya Lopez,2025-06-29,social,US
C0086,Arjun Sharma,2025-04-09,email,US
C0087,Sofia Patel,2025-05-23,social,CA
C0088,Isha Ali,2025-10-02,social,US
C0089,Noah Nguyen,2025-04-02,referral,US
C0090,Liam Patel,2025-08-11,social,CA
C0091,Emma Khan,2025-09-19,organic,IN
C0092,Priya Nguyen,2025-01-23,email,US
C0093,Priya Smith,2025-08-09,organic,CA
C0094,Emma Das,2025-06-10,organic,CA
C0095,Lucas Chen,2025-06-08,email,US
C0096,Isha Brown,2025-06-01,referral,US
C0097,Priya Khan,2025-07-14,paid_search,UK
C0098,Lucas Khan,2025-10-08,organic,US
C0099,Lucas Kim,2025-08-09,referral,UK
C0100,Emma Lopez,2025-08-15,email,CA
C0101,Priya Chen,2025-08-31,paid_search,CA
C0102,Maya Nguyen,2025-09-21,referral,US
C0103,Maya Kim,2025-06-08,paid_search,US
C0104,Zoe Sharma,2025-01-24,paid_search,IN
C0105,Maya Lopez,2025-08-01,referral,US
C0106,Isha Lopez,2025-07-24,paid_search,US
C0107,Ava Patel,2025-08-06,paid_search,US
C0108,Nina Sharma,2025-10-13,paid_search,US
C0109,Nina Garcia,2025-08-26,referral,UK
C0110,Emma Lopez,2025-09-16,email,UK
C0111,Nina Garcia,2025-09-01,email,US
C0112,Arjun Ali,2025-05-22,referral,IN
C0113,Arjun Nguyen,2025-08-14,organic,CA
C0114,Lucas Kim,2025-05-20,social,US
C0115,Maya Garcia,2025-03-19,paid_search,IN
C0116,Zoe Brown,2025-04-20,organic,IN
C0117,Ravi Smith,2025-10-05,email,IN
C0118,Liam Kim,2025-08-04,email,UK
C0119,Ava Das,2025-07-14,email,US
C0120,Mason Nguyen,2025-07-19,email,UK
C0121,Arjun Lopez,2025-04-23,social,IN
C0122,Omar Sharma,2025-07-19,social,CA
C0123,Isha Brown,2025-03-26,email,US
C0124,Ava Khan,2025-10-16,organic,US
C0125,Ravi Garcia,2025-08-25,paid_search,US
C0126,Sofia Khan,2025-06-17,paid_search,IN
C0127,Emma Smith,2025-07-14,social,IN
C0128,Sofia Patel,2025-08-29,organic,CA
C0129,Liam Smith,2025-04-25,organic,CA
C0130,Liam Sharma,2025-05-07,paid_search,US
C0131,Zoe Kim,2025-03-06,email,CA
C0132,Noah Das,2025-04-22,email,CA
C0133,Sofia Smith,2025-03-27,referral,UK
C0134,Noah Garcia,2025-06-09,organic,UK
C0135,Ava Nguyen,2025-10-22,email,IN
C0136,Priya Patel,2025-05-05,organic,CA
C0137,Lucas Ali,2025-03-03,referral,US
C0138,Mason Chen,2025-08-08,social,US
C0139,Emma Sharma,2025-08-04,email,US
C0140,Ravi Smith,2025-08-24,paid_search,IN
C0141,Ethan Brown,2025-09-25,social,UK
C0142,Omar Lopez,2025-08-12,referral,US
C0143,Emma Kim,2025-02-14,social,IN
C0144,Arjun Lopez,2025-10-19,referral,CA
